threshold,reviewed_count,review_rate,precision,recall,expected_cost,tp,fp,fn,tn
0.13595418378360297,540,0.09,0.22962962962962918,0.34444444444444344,2304.0,124,416,236,5224
0.08536075823551148,1140,0.19,0.16491228070175426,0.5222222222222207,2328.0,188,952,172,4688
0.0924250819068264,1020,0.17,0.17058823529411749,0.48333333333333195,2334.0,174,846,186,4794
0.12143164767106199,660,0.11,0.19999999999999968,0.36666666666666564,2352.0,132,528,228,5112
0.08088216978738952,1260,0.21,0.15714285714285703,0.5499999999999985,2358.0,198,1062,162,4578
0.07589864196666805,1380,0.23,0.15217391304347816,0.5833333333333317,2370.0,210,1170,150,4470
0.15417592387555187,420,0.07,0.24523809523809464,0.2861111111111103,2373.0,103,317,257,5323
0.11062981309305206,780,0.13,0.1833333333333331,0.3972222222222211,2373.0,143,637,217,5003
0.10050879790249609,900,0.15,0.17333333333333314,0.4333333333333321,2376.0,156,744,204,4896
0.1798406355008173,300,0.05,0.2833333333333324,0.23611111111111044,2415.0,85,215,275,5425
0.07138478901698382,1500,0.25,0.14533333333333326,0.6055555555555538,2418.0,218,1282,142,4358
0.06739250806733792,1620,0.27,0.13641975308641968,0.6138888888888872,2511.0,221,1399,139,4241
0.23125128096596623,180,0.03,0.32222222222222047,0.16111111111111065,2538.0,58,122,302,5518
0.06436159314688533,1740,0.29,0.13045977011494245,0.6305555555555538,2577.0,227,1513,133,4127
0.061771592761146396,1860,0.31,0.12473118279569886,0.6444444444444426,2652.0,232,1628,128,4012
0.059278776257981954,1980,0.33,0.12222222222222216,0.6722222222222203,2682.0,242,1738,118,3902
0.05654508968768566,2100,0.35,0.119047619047619,0.6944444444444424,2730.0,250,1850,110,3790
0.3667786891593157,60,0.01,0.36666666666666053,0.061111111111110936,2742.0,22,38,338,5602
0.05435024992378222,2220,0.37,0.11711711711711707,0.7222222222222202,2760.0,260,1960,100,3680
0.05169517534045297,2340,0.39,0.11452991452991448,0.7444444444444424,2808.0,268,2072,92,3568
0.04955550517842229,2460,0.41,0.11016260162601622,0.7527777777777757,2901.0,271,2189,89,3451
0.0473970129887815,2580,0.43,0.10697674418604647,0.7666666666666645,2976.0,276,2304,84,3336
0.04533625197818066,2700,0.45,0.1033333333333333,0.7749999999999978,3069.0,279,2421,81,3219
0.043569795601385915,2820,0.47,0.10177304964539004,0.79722222222222,3117.0,287,2533,73,3107
0.041895835904096186,2941,0.49016666666666664,0.09962597755865349,0.8138888888888866,3184.0,293,2648,67,2992
0.04032205162779404,3060,0.51,0.09738562091503265,0.8277777777777754,3258.0,298,2762,62,2878
0.0385748804100871,3180,0.53,0.09591194968553457,0.8472222222222198,3315.0,305,2875,55,2765
0.036989991708368045,3300,0.55,0.09424242424242421,0.8638888888888865,3381.0,311,2989,49,2651
0.03577064864757099,3420,0.57,0.091812865497076,0.8722222222222198,3474.0,314,3106,46,2534
0.03450321874627121,3540,0.59,0.08954802259887003,0.8805555555555531,3567.0,317,3223,43,2417
0.03351847459652588,3660,0.61,0.08770491803278686,0.8916666666666642,3651.0,321,3339,39,2301
0.03231819027499616,3780,0.63,0.08571428571428569,0.8999999999999975,3744.0,324,3456,36,2184
0.030974519511187983,3900,0.65,0.08384615384615382,0.9083333333333308,3837.0,327,3573,33,2067
0.029661596518242777,4020,0.67,0.0825870646766169,0.9222222222222196,3912.0,332,3688,28,1952
0.028535512233773055,4140,0.69,0.08115942028985505,0.9333333333333307,3996.0,336,3804,24,1836
0.027407352161828866,4260,0.71,0.07957746478873237,0.941666666666664,4089.0,339,3921,21,1719
0.026359714131917,4380,0.73,0.07739726027397259,0.941666666666664,4209.0,339,4041,21,1599
0.025263641194903926,4500,0.75,0.07577777777777776,0.9472222222222195,4311.0,341,4159,19,1481
0.02426990647219833,4620,0.77,0.07445887445887445,0.9555555555555528,4404.0,344,4276,16,1364
0.023256504234195893,4740,0.79,0.07278481012658226,0.9583333333333306,4515.0,345,4395,15,1245
0.02226356627642819,4860,0.81,0.07160493827160493,0.9666666666666639,4608.0,348,4512,12,1128
0.02121462401046907,4980,0.83,0.07048192771084336,0.9749999999999972,4701.0,351,4629,9,1011
0.020203000246962755,5100,0.85,0.0688235294117647,0.9749999999999972,4821.0,351,4749,9,891
0.018841556715382266,5220,0.87,0.06743295019157088,0.977777777777775,4932.0,352,4868,8,772
0.017362296650937897,5340,0.89,0.06685393258426965,0.9916666666666638,5007.0,357,4983,3,657
0.015960921490852018,5460,0.91,0.06556776556776556,0.9944444444444416,5118.0,358,5102,2,538
0.014185940785672773,5580,0.93,0.064336917562724,0.9972222222222193,5229.0,359,5221,1,419
0.01265673298848063,5700,0.95,0.06298245614035086,0.9972222222222193,5349.0,359,5341,1,299
0.011189350731256327,5820,0.97,0.06185567010309277,0.9999999999999971,5460.0,360,5460,0,180
0.008900276462124292,5940,0.99,0.060606060606060594,0.9999999999999971,5580.0,360,5580,0,60
